base_lookback,market_vol_window,base_vol_window,market_vol_threshold,max_vol_threshold,rvi_high_exit_threshold,rvi_low_threshold,rvi_medium_threshold,rvi_low_multiplier,rvi_high_multiplier,use_rvi_adaptation,use_trend_filter,trend_window,trend_filter_on_insufficient_data,bare_mode,risk_free_ticker,debug,used_market_vol_window,total_trades,time_in_cash_pct,final_value,cagr,sharpe,max_drawdown,calmar,sortino,volatility
30,21,8,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3446228.7095064917,0.4097131156044975,3.471755050572106,-0.06386770145213627,,,
29,21,9,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,333,,3415011.2558822534,0.40615741645569714,3.443157292685065,-0.04912666775452401,,,
30,21,9,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,305,,3396851.0445742505,0.40407813441371676,3.413383122248762,-0.056037997714123544,,,
30,21,10,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,293,,3215376.323742868,0.3828452616224669,3.3309353727118003,-0.06583881396410507,,,
28,21,9,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,311,,3263966.9038133137,0.38861361347046586,3.2757688377255834,-0.07461679188510939,,,
29,21,10,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,319,,3109522.0701500284,0.3700574055619139,3.176386868285624,-0.06583881396410451,,,
29,21,8,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,355,,3113001.0621917904,0.3704826491789215,3.1515817095356606,-0.06110540574901624,,,
28,21,8,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,321,,3000284.834117453,0.3565267284590252,3.0895969360619384,-0.08031393500801742,,,
31,21,9,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,327,,3001052.9994208203,0.3566231102706885,3.071751591883569,-0.07850170901278586,,,
31,21,8,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,333,,3025643.6822707634,0.3596991324387926,3.0619867289952194,-0.07070778367297337,,,
32,21,8,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,343,,2993628.8863883098,0.3556908583399472,3.018329466093735,-0.07720322501036925,,,
32,21,9,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,331,,2950139.226295786,0.35019601093404873,3.0085062259993007,-0.08675401473426758,,,
30,21,7,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,353,,3160748.4076239187,0.37628449702727296,2.976034878958672,-0.06689228914881085,,,
28,21,10,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,307,,2900164.810963142,0.3438090811794665,2.9169553053821997,-0.08732237864491377,,,
29,21,7,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,365,,2847906.92878341,0.33704469352525157,2.90748886579306,-0.06903082672379757,,,
28,21,7,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,349,,2996952.506038587,0.35610841423371165,2.8960616304974804,-0.0803139350080172,,,
32,21,7,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,367,,3027091.0185840493,0.35987961454828854,2.8723965808045793,-0.08028427757060841,,,
31,21,7,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,353,,3006168.042821887,0.3572644414414885,2.8488247912481044,-0.08513756263372141,,,
31,21,10,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,345,,2721254.397264149,0.3202701427188597,2.7992973603163227,-0.06994942788002545,,,
32,21,10,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,345,,2707732.3961137896,0.31844611934997014,2.768745646464052,-0.0747122835841958,,,
