base_lookback,market_vol_window,base_vol_window,market_vol_threshold,max_vol_threshold,rvi_high_exit_threshold,rvi_low_threshold,rvi_medium_threshold,rvi_low_multiplier,rvi_high_multiplier,use_rvi_adaptation,use_trend_filter,trend_window,trend_filter_on_insufficient_data,bare_mode,risk_free_ticker,debug,used_market_vol_window,total_trades,time_in_cash_pct,final_value,cagr,sharpe,max_drawdown,calmar,sortino,volatility
30,21,8,0.28,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3446228.7095064917,0.4097131156044975,3.471755050572106,-0.06386770145213627,,,
30,21,8,0.29,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3446228.7095064917,0.4097131156044975,3.471755050572106,-0.06386770145213627,,,
30,21,8,0.32,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3446228.7095064917,0.4097131156044975,3.471755050572106,-0.06386770145213627,,,
30,21,8,0.31,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3446228.7095064917,0.4097131156044975,3.471755050572106,-0.06386770145213627,,,
30,21,8,0.3,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3446228.7095064917,0.4097131156044975,3.471755050572106,-0.06386770145213627,,,
30,21,8,0.3,0.28,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3429518.664298505,0.4078127327492589,3.464519057536171,-0.06386770145213627,,,
30,21,8,0.28,0.28,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3429518.664298505,0.4078127327492589,3.464519057536171,-0.06386770145213627,,,
30,21,8,0.29,0.28,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3429518.664298505,0.4078127327492589,3.464519057536171,-0.06386770145213627,,,
30,21,8,0.31,0.28,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3429518.664298505,0.4078127327492589,3.464519057536171,-0.06386770145213627,,,
30,21,8,0.32,0.28,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3429518.664298505,0.4078127327492589,3.464519057536171,-0.06386770145213627,,,
30,21,8,0.32,0.29,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3410242.7551969043,0.4056122143507479,3.4468971451750487,-0.06386770145213627,,,
30,21,8,0.31,0.29,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3410242.7551969043,0.4056122143507479,3.4468971451750487,-0.06386770145213627,,,
30,21,8,0.29,0.29,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3410242.7551969043,0.4056122143507479,3.4468971451750487,-0.06386770145213627,,,
30,21,8,0.28,0.29,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3410242.7551969043,0.4056122143507479,3.4468971451750487,-0.06386770145213627,,,
30,21,8,0.3,0.29,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3410242.7551969043,0.4056122143507479,3.4468971451750487,-0.06386770145213627,,,
30,21,8,0.28,0.31,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3397380.7914857394,0.40413890220259496,3.4229266354633734,-0.06386770145213627,,,
30,21,8,0.28,0.32,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3397380.7914857394,0.40413890220259496,3.4229266354633734,-0.06386770145213627,,,
30,21,8,0.29,0.31,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3397380.7914857394,0.40413890220259496,3.4229266354633734,-0.06386770145213627,,,
30,21,8,0.3,0.31,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3397380.7914857394,0.40413890220259496,3.4229266354633734,-0.06386770145213627,,,
30,21,8,0.29,0.32,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3397380.7914857394,0.40413890220259496,3.4229266354633734,-0.06386770145213627,,,
30,21,8,0.3,0.32,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3397380.7914857394,0.40413890220259496,3.4229266354633734,-0.06386770145213627,,,
30,21,8,0.31,0.32,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3397380.7914857394,0.40413890220259496,3.4229266354633734,-0.06386770145213627,,,
30,21,8,0.31,0.31,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3397380.7914857394,0.40413890220259496,3.4229266354633734,-0.06386770145213627,,,
30,21,8,0.32,0.31,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3397380.7914857394,0.40413890220259496,3.4229266354633734,-0.06386770145213627,,,
30,21,8,0.32,0.32,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3397380.7914857394,0.40413890220259496,3.4229266354633734,-0.06386770145213627,,,
