base_lookback,market_vol_window,base_vol_window,market_vol_threshold,max_vol_threshold,rvi_high_exit_threshold,rvi_low_threshold,rvi_medium_threshold,rvi_low_multiplier,rvi_high_multiplier,use_rvi_adaptation,use_trend_filter,trend_window,trend_filter_on_insufficient_data,bare_mode,risk_free_ticker,debug,used_market_vol_window,total_trades,time_in_cash_pct,final_value,cagr,sharpe,max_drawdown,calmar,sortino,volatility
30,21,8,0.35,0.3,36,20,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3513548.9718803945,0.4173024874598792,3.517312749415757,-0.06386770145213594,,,
30,21,8,0.35,0.3,36,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3446228.7095064917,0.4097131156044975,3.471755050572106,-0.06386770145213627,,,
30,21,8,0.35,0.3,36,17,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3446228.7095064917,0.4097131156044975,3.471755050572106,-0.06386770145213627,,,
30,21,8,0.35,0.3,36,18,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,297,,3446228.7095064917,0.4097131156044975,3.471755050572106,-0.06386770145213627,,,
30,21,8,0.35,0.3,41,20,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,283,,3548076.752462869,0.4211542911040218,3.288901583462191,-0.06386770145213616,,,
30,21,8,0.35,0.3,41,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,283,,3480094.9312871355,0.4135442936091396,3.245697342153062,-0.06386770145213594,,,
30,21,8,0.35,0.3,41,17,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,283,,3480094.9312871355,0.4135442936091396,3.245697342153062,-0.06386770145213594,,,
30,21,8,0.35,0.3,41,18,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,283,,3480094.9312871355,0.4135442936091396,3.245697342153062,-0.06386770145213594,,,
30,21,8,0.35,0.3,33,20,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,291,,2610732.9365222934,0.3051647897978855,3.178805937174367,-0.06386770145213583,,,
30,21,8,0.35,0.3,45,20,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,293,,3470819.3113487815,0.41249766030474855,3.1546123606408885,-0.06386770145213605,,,
30,21,8,0.35,0.3,33,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,291,,2560710.800021145,0.29817589292515123,3.1262611436740046,-0.06386770145213594,,,
30,21,8,0.35,0.3,33,17,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,291,,2560710.800021145,0.29817589292515123,3.1262611436740046,-0.06386770145213594,,,
30,21,8,0.35,0.3,33,18,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,291,,2560710.800021145,0.29817589292515123,3.1262611436740046,-0.06386770145213594,,,
30,21,8,0.35,0.3,45,17,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,293,,3404317.757346714,0.4049340173394973,3.11210869928612,-0.06386770145213605,,,
30,21,8,0.35,0.3,45,18,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,293,,3404317.757346714,0.4049340173394973,3.11210869928612,-0.06386770145213605,,,
30,21,8,0.35,0.3,45,19,25,1.2,0.71,True,True,60,allow,False,LQDT,False,25,293,,3404317.757346714,0.4049340173394973,3.11210869928612,-0.06386770145213605,,,
