date,action,ticker,execution_price,market_price,quantity,quantity_signed,cash_balance,position_value,total_value
2022-12-09,BUY,GOLD,0.93,0.93,1075836.42,1075836.42,0.00,999989.95,999989.95
2022-12-19,SELL,GOLD,1.00,1.00,1075836.42,-1075836.42,1073243.62,0.00,1073243.62
2022-12-19,BUY,LQDT,1.20,1.20,893095.48,893095.48,0.00,1073232.84,1073232.84
2023-01-12,SELL,LQDT,1.21,1.21,893095.48,-893095.48,1078669.88,0.00,1078669.88
2023-01-12,BUY,GOLD,1.07,1.07,1005555.18,1005555.18,0.00,1078659.04,1078659.04
2023-01-16,SELL,GOLD,1.09,1.09,1005555.18,-1005555.18,1096044.13,0.00,1096044.13
2023-01-16,BUY,EQMX,94.15,94.15,11641.35,11641.35,0.00,1096033.11,1096033.11
2023-01-17,SELL,EQMX,92.60,92.60,11641.35,-11641.35,1077978.19,0.00,1077978.19
2023-01-17,BUY,OBLG,134.38,134.38,8021.78,8021.78,0.00,1077967.35,1077967.35
2023-01-19,SELL,OBLG,134.70,134.70,8021.78,-8021.78,1080523.46,0.00,1080523.46
2023-01-19,BUY,LQDT,1.21,1.21,893576.42,893576.42,0.00,1080512.61,1080512.61
2023-01-20,SELL,LQDT,1.21,1.21,893576.42,-893576.42,1080859.17,0.00,1080859.17
2023-01-20,BUY,GOLD,1.11,1.11,973035.93,973035.93,0.00,1080848.31,1080848.31
2023-01-27,SELL,GOLD,1.11,1.11,973035.93,-973035.93,1082783.50,0.00,1082783.50
2023-01-27,BUY,OBLG,134.64,134.64,8041.98,8041.98,0.00,1082772.62,1082772.62
2023-01-30,SELL,OBLG,134.56,134.56,8041.98,-8041.98,1082118.38,0.00,1082118.38
2023-01-30,BUY,GOLD,1.12,1.12,966426.28,966426.28,0.00,1082107.51,1082107.51
2023-02-01,SELL,GOLD,1.13,1.14,966426.28,-966426.28,1096882.81,0.00,1096882.81
2023-02-01,BUY,EQMX,94.70,94.70,11582.60,11582.60,0.00,1096871.78,1096871.78
2023-02-07,SELL,EQMX,96.20,96.20,11582.60,-11582.60,1114234.48,0.00,1114234.48
2023-02-07,BUY,LQDT,1.21,1.21,918568.25,918568.25,0.00,1114223.28,1114223.28
